Zeit_s;Druck_mBar;V_Durchlass;V_Einlass;Dauer bis Druckstabilitaet_s;raw;resp;response
36,094;964,62000;2,00;8,00;;b'0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
37,094;964,62000;2,00;8,00;;b'0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
38,096;964,62000;2,00;8,00;;b'0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
39,097;964,62000;2,00;8,00;;b'0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
40,099;964,63000;2,00;8,00;;b'0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03
41,099;964,63000;2,00;8,00;;b'0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03
42,100;964,63000;2,00;8,00;;b'0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03
43,101;964,63000;2,00;8,00;;b'0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03
44,101;964,63000;2,00;8,00;;b'0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03
45,102;964,63000;2,00;8,00;;b'0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03
46,103;964,62000;2,00;8,00;;b'0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
47,103;964,62000;2,00;8,00;;b'0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
