Zeit_s;Druck_mBar;V_Durchlass;V_Einlass;Modus;Dauer bis Druckstabilitaet_s;raw;resp;response
39,025;896,50000;10,00;10,00;Einlass;;b'0, 8,9650E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9650E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9650E+02,2, 1,3652E+00,5, 1,0000E+03
40,026;896,52000;10,00;10,00;Einlass;;b'0, 8,9652E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9652E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9652E+02,2, 1,3652E+00,5, 1,0000E+03
41,026;896,51000;10,00;10,00;Einlass;;b'0, 8,9651E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9651E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9651E+02,2, 1,3652E+00,5, 1,0000E+03
42,027;896,54000;10,00;10,00;Einlass;;b'0, 8,9654E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9654E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9654E+02,2, 1,3652E+00,5, 1,0000E+03
43,028;896,52000;10,00;10,00;Einlass;;b'0, 8,9652E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9652E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9652E+02,2, 1,3652E+00,5, 1,0000E+03
44,029;896,57000;10,00;10,00;Einlass;;b'0, 8,9657E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9657E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9657E+02,2, 1,3652E+00,5, 1,0000E+03
45,030;896,60000;10,00;10,00;Einlass;;b'0, 8,9660E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9660E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9660E+02,2, 1,3652E+00,5, 1,0000E+03
46,030;896,60000;10,00;10,00;Einlass;;b'0, 8,9660E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9660E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9660E+02,2, 1,3652E+00,5, 1,0000E+03
47,031;896,63000;10,00;10,00;Einlass;;b'0, 8,9663E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9663E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9663E+02,2, 1,3652E+00,5, 1,0000E+03
48,031;896,64000;10,00;10,00;Einlass;;b'0, 8,9664E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9664E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9664E+02,2, 1,3652E+00,5, 1,0000E+03
