Zeit_s;Druck_mBar;V_Durchlass;V_Einlass;Modus;Dauer bis Druckstabilität_s
159,478;897,62000;10,00;9,50;Einlass;
160,465;897,61000;10,00;9,50;Einlass;
161,454;897,58000;10,00;9,50;Einlass;
162,442;897,58000;10,00;9,50;Einlass;
163,430;897,58000;10,00;9,50;Einlass;
164,418;897,58000;10,00;9,50;Einlass;
165,406;897,58000;10,00;9,50;Einlass;
166,394;897,58000;10,00;9,50;Einlass;
167,382;897,59000;10,00;9,50;Einlass;
168,370;897,58000;10,00;9,50;Einlass;
169,357;897,57000;10,00;9,50;Einlass;
170,346;897,58000;10,00;9,50;Einlass;
171,334;897,61000;10,00;9,50;Einlass;
172,321;897,62000;10,00;9,50;Einlass;
173,309;897,62000;10,00;9,50;Einlass;
174,297;897,62000;10,00;9,50;Einlass;
175,285;897,62000;10,00;9,50;Einlass;
176,273;897,63000;10,00;9,50;Einlass;
177,261;897,63000;10,00;9,50;Einlass;
178,249;897,66000;10,00;9,50;Einlass;
179,237;897,66000;10,00;9,50;Einlass;
180,225;897,66000;10,00;9,50;Einlass;
181,213;897,62000;10,00;9,50;Einlass;
182,200;897,62000;10,00;9,50;Einlass;
183,189;897,58000;10,00;9,50;Einlass;
184,177;897,57000;10,00;9,50;Einlass;
185,165;897,56000;10,00;9,50;Einlass;
186,152;897,53000;10,00;9,50;Einlass;
187,141;897,53000;10,00;9,50;Einlass;
188,129;897,54000;10,00;9,50;Einlass;
189,116;897,53000;10,00;9,50;Einlass;
190,104;897,55000;10,00;9,50;Einlass;
191,092;897,61000;10,00;9,50;Einlass;
192,080;897,62000;10,00;9,50;Einlass;
193,068;897,62000;10,00;9,50;Einlass;
194,056;897,62000;10,00;9,50;Einlass;
195,044;897,62000;10,00;9,50;Einlass;
196,032;897,61000;10,00;9,50;Einlass;
197,020;897,62000;10,00;9,50;Einlass;97,806
198,008;897,62000;10,00;9,00;Einlass;
198,996;897,56000;10,00;9,00;Einlass;
199,984;897,51000;10,00;9,00;Einlass;
200,971;897,50000;10,00;9,00;Einlass;
201,959;897,49000;10,00;9,00;Einlass;
202,948;897,52000;10,00;9,00;Einlass;
203,935;897,53000;10,00;9,00;Einlass;
204,924;897,51000;10,00;9,00;Einlass;
205,912;897,49000;10,00;9,00;Einlass;
206,900;897,47000;10,00;9,00;Einlass;
207,888;897,45000;10,00;9,00;Einlass;
208,876;897,45000;10,00;9,00;Einlass;
209,863;897,45000;10,00;9,00;Einlass;
210,851;897,45000;10,00;9,00;Einlass;
211,839;897,41000;10,00;9,00;Einlass;
212,827;897,41000;10,00;9,00;Einlass;
213,815;897,41000;10,00;9,00;Einlass;
214,802;897,43000;10,00;9,00;Einlass;
215,791;897,45000;10,00;9,00;Einlass;
216,778;897,49000;10,00;9,00;Einlass;
217,767;897,49000;10,00;9,00;Einlass;
218,755;897,49000;10,00;9,00;Einlass;
219,743;897,52000;10,00;9,00;Einlass;
220,731;897,50000;10,00;9,00;Einlass;
221,718;897,52000;10,00;9,00;Einlass;
222,706;897,53000;10,00;9,00;Einlass;
223,695;897,53000;10,00;9,00;Einlass;
224,683;897,53000;10,00;9,00;Einlass;
225,671;897,54000;10,00;9,00;Einlass;
226,659;897,57000;10,00;9,00;Einlass;
227,646;897,57000;10,00;9,00;Einlass;
228,634;897,58000;10,00;9,00;Einlass;
229,623;897,57000;10,00;9,00;Einlass;
230,610;897,57000;10,00;9,00;Einlass;
231,598;897,58000;10,00;9,00;Einlass;
232,586;897,55000;10,00;9,00;Einlass;
233,574;897,55000;10,00;9,00;Einlass;
234,562;897,57000;10,00;9,00;Einlass;
235,550;897,58000;10,00;9,00;Einlass;
236,538;897,58000;10,00;9,00;Einlass;
237,525;897,53000;10,00;9,00;Einlass;
238,514;897,54000;10,00;9,00;Einlass;
239,502;897,53000;10,00;9,00;Einlass;
240,489;897,53000;10,00;9,00;Einlass;
241,478;897,58000;10,00;9,00;Einlass;
242,466;897,56000;10,00;9,00;Einlass;
243,453;897,57000;10,00;9,00;Einlass;
244,441;897,58000;10,00;9,00;Einlass;
245,429;897,58000;10,00;9,00;Einlass;
246,418;897,57000;10,00;9,00;Einlass;
247,406;897,58000;10,00;9,00;Einlass;
248,394;897,61000;10,00;9,00;Einlass;
249,382;897,61000;10,00;9,00;Einlass;
250,369;897,62000;10,00;9,00;Einlass;
251,358;897,62000;10,00;9,00;Einlass;
252,345;897,56000;10,00;9,00;Einlass;
253,332;897,53000;10,00;9,00;Einlass;
254,321;897,54000;10,00;9,00;Einlass;
255,309;897,53000;10,00;9,00;Einlass;
256,296;897,54000;10,00;9,00;Einlass;
257,285;897,58000;10,00;9,00;Einlass;
258,273;897,58000;10,00;9,00;Einlass;
259,261;897,61000;10,00;9,00;Einlass;
260,248;897,62000;10,00;9,00;Einlass;
261,237;897,62000;10,00;9,00;Einlass;
262,224;897,62000;10,00;9,00;Einlass;
263,212;897,62000;10,00;9,00;Einlass;
264,201;897,62000;10,00;9,00;Einlass;
265,189;897,62000;10,00;9,00;Einlass;
266,176;897,62000;10,00;9,00;Einlass;
267,166;897,58000;10,00;9,00;Einlass;
268,153;897,54000;10,00;9,00;Einlass;
269,140;897,57000;10,00;9,00;Einlass;
270,128;897,58000;10,00;9,00;Einlass;
271,116;897,57000;10,00;9,00;Einlass;
272,104;897,58000;10,00;9,00;Einlass;
273,092;897,61000;10,00;9,00;Einlass;
274,080;897,61000;10,00;9,00;Einlass;
275,068;897,62000;10,00;9,00;Einlass;
276,056;897,62000;10,00;9,00;Einlass;
277,044;897,62000;10,00;9,00;Einlass;
278,032;897,62000;10,00;9,00;Einlass;
279,020;897,58000;10,00;9,00;Einlass;
280,008;897,57000;10,00;9,00;Einlass;
280,995;897,61000;10,00;9,00;Einlass;
